Fabricio Werdum: -291	-145	-1258	-719	-619	-340	-298	-199
Alexander Volkov: 276	563	719	1258	426	799	298	397

Jimi Manuwa: -168	-51	-772	-441	-376	-186	-191	-113
Jan Blachowicz: 152	349	441	772	252	495	191	270

Tom Dequesnoy: -489	-245	-1491	-852	-867	-473	-409	-273
Terrion Ware: 469	954	852	1491	614	1156	409	545

Leon Edwards: -174	-77	-383	-219	-257	-133	-166	-106
Peter Sobotta: 132	305	219	383	166	336	166	226

John Phillips: -168	-84	-315	-180	-208	-110	-132	-88
Charles Byrd: 72	216	180	315	101	243	132	176

Danny Roberts: -250	-88	-315	-180	-265	-108	-235	-140
Oliver Enkamp: 232	515	180	315	220	471	235	330

Danny Henry: 17	133	360	630	111	270	86	126
Hakeem Dawodu: -117	-35	-360	-630	-184	-198	-86	-47

Paul Craig: 188	457	93	163	165	386	190	294
Magomed Ankalaev: -201	-30	-93	-163	-175	-62	-190	-86

Stevie Ray: -212	-106	-140	-80	-196	-100	-217	-145
Kajan Johnson: 170	371	80	140	150	320	217	290

Mark Godbeer: 52	228	-58	-33	26	166	59	139
Dmitry Sosnovskiy: -52	98	33	58	-32	89	-59	21

Nasrat Haqparast: -233	-116	-700	-400	-558	-314	-300	-200
Nad Narimani: 233	466	400	700	349	629	300	400



Khabib Nurmagomedov: -900	-450	-370	-211	-738	-484	-600	-400
Al Iaquinta: 900	1800	211	370	738	1246	600	800

Rose Namajunas: 84	264	-70	-40	47	191	98	179
Joanna Jedrzejczyk: -84	54	40	70	-47	63	-98	-18

Renato Moicano: 23	139	101	101	74	164	51	95
Calvin Kattar: -66	28	-177	-101	-107	-34	-51	-7

Zabit Magomedsharipov: -669	-334	-662	-378	-741	-494	-518	-346
Kyle Bochniak: 669	1338	378	662	741	1236	518	691

Karolina Kowalkiewicz: -133	-14	-198	-113	-153	-49	-150	-77
Felice Herrig: 105	283	113	198	128	283	150	223

Joe Lauzon: -97	21	-152	-87	-122	-30	-120	-49
Chris Gruetzemacher: 69	228	87	152	101	226	120	191

Evan Dunham: -144	-20	-175	-100	-158	-50	-163	-86
Olivier Aubin-Mercier: 118	307	100	175	135	300	163	240

Bec Rawlings: 297	622	76	76	279	553	273	376
Ashlee Evans-Smith: -297	-119	-133	-76	-279	-131	-273	-169

Devin Clark: -187	-93	74	74	-119	-43	-150	-100
Mike Rodriguez: 89	251	-129	-74	39	172	150	200



Dustin Poirier: -25	106	44	44	1	107	-10	54
Justin Gaethje: 11	151	-78	-44	-12	102	10	74

Carlos Condit: 109	286	71	71	123	265	130	203
Alex Oliviera: -130	-14	-125	-71	-140	-46	-130	-57

Israel Adesanya: -202	-72	-329	-188	-271	-174	-232	-142
Marvin Vettori: 183	409	188	329	257	425	232	323

Michelle Waterson: -109	30	-74	-42	-108	-3	-53	7
Cortney Casey: 54	234	42	74	67	204	53	113

Tim Boetsch: 170	393	93	93	184	357	187	280
Antonio Carlos Junior: -170	-31	-163	-93	-184	-78	-187	-94

Muslim Salikhov: -157	-78	-403	-230	-284	-229	-140	-93
Ricky Rainey: 83	221	230	403	233	329	140	187

Wilson Reis: -105	-18	45	45	-51	15	-92	-46
John Moraga: 58	185	-79	-45	15	111	92	138

Krzysztof Jotko: 43	177	104	104	92	196	69	122
Brad Tavares: -93	7	-182	-104	-131	-53	-69	-15

Gilbert Burns: -252	-77	-672	-384	-431	-301	-226	-123
Dan Moret: 230	525	384	672	415	635	226	329

Shana Dobson: -31	80	77	77	40	116	9	52
Lauren Mueller: -40	69	-135	-77	-88	-13	-9	33

Dhiego Lima: 92	280	62	62	108	249	134	214
Yushin Okami: -129	3	-109	-62	-135	-36	-134	-55

Arjan Singh Bhullar: -276	-107	-413	-236	-365	-243	-217	-127
Adam Wieczorek: 259	562	236	413	352	570	217	307

Matthew Lopez: -15	145	-121	-69	-56	63	-5	77
Alejandro Perez: 15	183	69	121	56	181	5	87

Luke Sanders: -215	-71	-655	-374	-413	-309	-196	-114
Patrick Williams: 179	421	374	655	387	563	196	277

Edson Barboza: 110	276	52	52	114	243	136	205
Kevin Lee: -130	-24	-91	-52	-130	-48	-136	-67



Frankie Edgar: -204	-75	-288	-164	-251	-152	-240	-148
Cub Swanson: 204	434	164	288	251	429	240	332

Justin Willis: -102	5	-394	-225	-262	-192	-71	-17
Chase Sherman: 29	170	225	394	215	307	71	125

David Branch: -26	89	66	66	31	112	4	56
Thiago Santos: -25	90	-116	-66	-67	14	-4	48

Aljamain Sterling: -188	-77	40	40	-89	-16	-201	-127
Brett Johns: 167	367	-71	-40	76	207	201	276

Jim Miller: 192	428	80	80	194	364	253	347
Dan Hooker: -222	-89	-140	-80	-216	-120	-253	-159

Ryan LaFlare: -174	-87	-197	-112	-213	-158	-179	-119
Alex Garcia: 126	288	112	197	183	286	179	238

Siyar Bahadurzada: -18	101	-219	-125	-135	-63	-20	35
Luan Chagas: -9	111	125	219	118	191	20	76

Corey Anderson: -191	-95	-98	-56	-176	-109	-217	-145
Patrick Cummins: 167	352	56	98	159	289	217	290

Tony Martin: -58	67	-167	-95	-131	-58	-32	21
Keita Nakamura: -15	120	95	167	88	168	32	85

Merab Dvalishvili: 57	218	86	86	133	217	120	180
Ricky Simon: -137	-23	-150	-86	-175	-116	-120	-60



Amanda Nunes: -232	-161	-637	-364	-422	-371	-374	-250
Raquel Pennington: 456	646	364	637	583	720	374	499

Jacare Souza: -135	-59	-110	-63	-141	-84	-175	-102
Kelvin Gastelum: 227	381	63	110	209	324	175	249

Mackenzie Dern: -109	-17	-366	-209	-251	-190	-173	-83
Amanda Cooper: 199	351	209	366	310	410	173	263

John Lineker: -272	-177	-570	-326	-430	-362	-334	-222
Brian Kelleher: 468	708	326	570	569	739	334	445

Vitor Belfort: -38	193	68	68	18	187	89	181
Lyoto Machida: 84	347	-118	-68	15	207	-89	3

Cezar Ferreira: -93	7	74	74	23	81	-122	-48
Karl Roberson: 135	286	-129	-74	2	90	122	195

Aleksei Oleinik: -146	-95	-159	-91	-172	-137	-194	-129
Junior Albini: 201	330	91	159	210	298	194	259

Davi Ramos: -63	11	90	90	60	102	-64	-15
Nick Hein: 25	140	-158	-90	-82	-15	64	113

Elizeu Zaleski dos Santos: 44	134	62	62	93	144	62	95
Sean Strickland: -75	-21	-109	-62	-111	-80	-62	-29

Warlley Alves: -144	-92	-515	-294	-404	-374	-166	-110
Sultan Aliev: 113	252	294	515	386	464	166	221

Thales Leites: -98	-24	50	50	-10	35	-95	-43
Jack Hermansson: 46	169	-87	-50	-22	52	95	147

Alberto Mina: 215	467	80	80	208	350	178	253
Ramazan Emeev: -225	-89	-140	-80	-214	-138	-178	-103

Markus Perez: -152	-99	-644	-368	-532	-505	-205	-137
James Bochnovic: 193	332	368	644	553	623	205	274



Demian Maia: 320	643	266	466	384	647	180	311
Kamaru Usman: -198	11	-466	-266	-285	-115	-180	-49

Alexa Grasso: 356	910	202	353	395	804	127	274
Tatiana Suarez: -265	139	-353	-202	-328	-29	-127	20

Jared Cannonier: 226	430	136	239	259	405	222	328
Dominick Reyes: -156	-40	-239	-136	-209	-125	-222	-117

Diego Rivas: -176	-67	-644	-368	-402	-325	-235	-140
Guido Cannetti: 225	436	368	644	436	583	235	330

Veronica Macedo: 283	480	372	651	527	650	264	353
Andrea Lee: -202	-120	-651	-372	-477	-425	-264	-176

Vicente Luque: -113	9	-353	-202	-249	-170	-126	-42
Chad Laprise: 108	288	202	353	246	363	126	209

